spotify_id,name,followers,popularity,genres
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,108555468,97,
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,73542788,93,
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,40034150,93,"art pop, pop"
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,121409220,92,soft pop
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,83635494,97,
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,59377331,93,
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,115047690,95,
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,67653001,93,
4q3ewBCX7sLwd24euuV69X,Bad Bunny,98472289,100,"reggaeton, trap latino, urbano latino, latin"
06HL4z0CvFAxyc27GXpf02,Taylor Swift,140665311,99,
3TVXtAsR1Inumwj472S9r4,Drake,100312081,99,rap
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,42906474,94,"hip hop, west coast hip hop"
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,27051789,91,"edm, dance"
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,106111030,93,pop
7CajNmpbOovFoOoasH2HaY,Calvin Harris,23096080,89,edm
7tYKF4w9nC0nq9CsPZTHyP,SZA,31428567,92,r&b
04gDigrS5kc9YWfZHwBETP,Maroon 5,45244143,89,pop
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,38632505,91,"reggaeton, latin"
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,24325419,92,
246dkjvS1zLTtiykXe5h60,Post Malone,47300000,90,
0EmeFodog0BfCgMzAIvKQp,Shakira,38774529,89,latin pop
6jJ0s89eD6GaHleKKya26X,Katy Perry,37692409,88,pop
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,46381344,89,pop
5WUlDfRSoLAfcVSX1WnrxN,Sia,30131268,87,
7dGJo4pcD2V6oG8kP0tJRR,Eminem,102347335,92,"rap, hip hop"
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,39870166,95,rap
0TnOYISbd1XYRBk9myaseg,Pitbull,11726365,89,
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,9221410,87,
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,30431477,93,rap
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,49391987,92,
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,57772675,90,
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,27218614,91,r&b
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,26235867,86,
6vWDO969PvNqNYHIOW5v0m,Beyoncé,40667838,89,
45dkTj5sMRSjrmBSBeiHym,Tate McRae,8392746,91,
790FomKkXshlbRYZFtlgla,KAROL G,58375637,94,"reggaeton, latin, urbano latino"
22wbnEMDvgVIAGdFeek6ET,Benson Boone,6402649,89,
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,37358820,89,"reggaeton, latin"
0fTSzq9jAh4c36UVb4V7CB,Alex Warren,2184683,90,
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,33814741,88,
64KEffDW9EtZ1y2vBYgq8T,Marshmello,34303745,84,edm
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,31080494,89,"indie, garage rock"
1RyvyyTE3xzB2ZywiAwp0i,Future,22003464,92,rap
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,18447483,86,soft pop
4dpARuHxo51G3z768sgnrY,Adele,65177848,87,soft pop
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,30774169,92,"nu metal, rap metal, rock, alternative metal"
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,21177392,84,
3Isy6kedDrgPYoTS1dazA9,Sean Paul,5193069,86,dancehall
2wY79sveU1sp5g7SokKOiI,Sam Smith,25964856,85,soft pop
6LuN9FCkKOj5PcnpouEgny,Khalid,16795957,85,
1dfeR4HaWDbWqFHLkxsg1d,Queen,54445960,86,"classic rock, rock, glam rock"
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,29730374,92,"reggaeton, urbano latino, trap latino, latin"
55Aa2cqylxrFIXC767Z865,Lil Wayne,17424072,90,"rap, hip hop"
26VFTg2z8YR0cCuwLzESi2,Halsey,22225301,84,
4G9NDjRyZFDlJKMRL8hx3S,sombr,1749714,88,
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,36337909,86,
3PhoLpVuITZKcymswpck5b,Elton John,15154242,85,
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,35207218,83,
6LqNN22kT3074XbTVUrhzX,Kesha,8944648,85,
6KImCVD70vtIoJWnq6nGn3,Harry Styles,33841834,85,
33qOK5uJ8AR2xuQQAhHump,Teddy Swims,5167107,87,
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,13499333,87,"classic rock, yacht rock, soft rock"
4YRxDV8wJFPHPTeXepOstw,Arijit Singh,154114677,93,"hindi pop, bollywood, desi, bangla pop"
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,45283799,85,
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,34086574,88,
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,14556618,90,rage rap
2FXC3k01G6Gw61bmprjgqS,Hozier,8944432,86,
0oOet2f43PA68X5RxKobEy,Shreya Ghoshal,31327798,87,"bollywood, hindi pop, desi, kannada pop, marathi pop, bangla pop"
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,47260079,89,
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,38865354,89,"reggaeton, trap latino, latin, urbano latino"
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,52856349,85,
31TPClRtHm23RisEBtV3X7,Justin Timberlake,15528311,85,
1r4hJ1h58CWwUQe3MxPuau,Maluma,37646404,88,"reggaeton, latin, urbano latino"
540vIaP2JwjQb9dm3aArA4,DJ Snake,9195517,82,
3eVa5w3URK5duf6eyVDbu9,ROSÉ,12358751,85,k-pop
1wRPtKGflJrBx9BmLsSwlU,Pritam,54883763,91,"bollywood, hindi pop, desi"
23zg3TcAtWQy7J6upgbUnj,USHER,13432136,84,r&b
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",23193278,93,
21E3waRsmPlU7jZsS13rcj,Ne-Yo,9978274,84,
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,12017246,85,rap
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,39944196,87,
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,13104018,82,
33ScadVnbm2X8kkUqOkC6Z,Don Omar,15378288,86,"reggaeton, urbano latino"
1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,66834517,84,"tamil pop, kollywood, sufi, bollywood, hindi pop, desi"
7iK8PXO48WeuP03g8YR51W,Myke Towers,20845233,90,"reggaeton, trap latino, urbano latino"
4Gso3d4CscCijv0lmajZWs,Don Toliver,7054628,89,
0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,22809801,86,"funk rock, alternative rock, rock"
250b0Wlc5Vk0CoUsaCY84M,JENNIE,11203724,86,k-pop
1URnnhqYAYcrqrcwql10ft,21 Savage,23141843,88,
0jnsk9HBra6NMjO2oANoPY,Flo Rida,8933851,84,
329e4yvIujISKGKz1BZZbO,Farruko,16759442,86,"reggaeton, trap latino"
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,11286426,87,
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,22665114,91,"corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, banda, electro corridos"
1vCWHaC5f2uS3yhpwWbIA6,Avicii,23474996,84,edm
26dSoYclwsYLMAKD3tpOr4,Britney Spears,17198918,84,pop
7a0XAaPaK2aDSqa8p3QnC7,Beéle,2330196,93,"latin afrobeats, reggaeton, pop urbano"
2LRoIwlKmHjgvigdNGBHNo,Feid,18087642,90,"reggaeton, urbano latino"
2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,5235798,85,
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,7895691,85,"edm, trance, big room, house, dance"
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,6383000,83,
7GlBOeep6PqTfFi59PTUUN,Chappell Roan,6661455,85,
3q7HBObVc0L8jNeTe5Gofh,50 Cent,18148120,86,"east coast hip hop, old school hip hop"
4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,6493131,87,
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,20896213,85,
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,24903268,82,"soft pop, pop"
6tbjWDEIzxoDsBA1FuhfPW,Madonna,8645706,82,
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,13246087,95,country
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,12897246,88,"art rock, alternative rock"
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,9817659,88,melodic rap
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,6926813,85,trap soul
3m5qlPf2OkihLz3dRYnkPA,Ovy On The Drums,1325541,87,reggaeton
7oPftvlwr6VrsViSDV7fJY,Green Day,16931161,84,"punk, pop punk"
1Yj5Xey7kTwvZla8sqdsdE,Cris MJ,6521604,86,"reggaeton chileno, chilean trap, chilean mambo, reggaeton"
1SupJlEpv7RS2tPNRaHViT,Nicky Jam,20140410,85,"reggaeton, latin"
67FB4n52MgexGQIG8s0yUH,Lola Young,1277059,82,
1KCSPY1glIKqW2TotWuXOR,P!nk,18020448,82,
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,19515257,88,
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,16934872,86,rap
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,17368074,94,"corrido, corridos tumbados, corridos bélicos, música mexicana, sierreño, banda, electro corridos, sad sierreño, dembow belico"
25uiPmTg16RbhZWAqwLBy5,Charli xcx,5924294,87,"hyperpop, art pop"
5NGO30tJxFlKixkPSgXcFE,The Police,7309820,80,
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,15310740,85,"reggaeton, pop urbano, latin, colombian pop"
3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,34406489,84,"rock, glam metal, hard rock, classic rock"
4IWBUUAFIplrNtaOHcJPRM,James Arthur,20497256,83,soft pop
7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,11778515,82,"latin pop, latin"
0LcJLqbBmaGUft1e9Mm8HV,ABBA,14456108,84,
5y8tKLUfMvliMe8IKamR32,d4vd,4348755,84,
5fMUXHkw8R8eOP2RNVYEZX,Diplo,2790131,81,moombahton
2R21vXR83lH98kGeO99Y66,Anuel AA,43256084,90,"reggaeton, trap latino, urbano latino, latin"
2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls,3311023,79,
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,9132695,87,
711MCceyCBcFnzjGY4Q7Un,AC/DC,31676936,85,"rock, hard rock, classic rock, rock and roll"
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,10147938,86,"hip hop, east coast hip hop, rap"
0z4gvV4rjIZ9wHck67ucSV,Akon,5782141,86,
67hb7towEyKvt5Z8Bx306c,Empire Of The Sun,1923344,82,
6olE6TJLqED3rqDCT0FyPh,Nirvana,22702404,85,"grunge, rock"
3xvaSlT4xsyk6lY1ESOspO,Disney,813611,88,
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,10087046,86,
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,9716134,80,
6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,7022187,87,"cumbia norteña, banda, norteño, música mexicana, corrido, corridos tumbados, grupera, corridos bélicos, tejano"
1mBydYMVBECdDmMfE2sEUO,Sachin-Jigar,6673237,83,"gujarati pop, bollywood, hindi pop, desi, gujarati garba"
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,26653219,86,rap
2txHhyCwHjUEpJjWrEyqyX,Tom Odell,4232082,80,
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,50888904,87,emo rap
4npEfmQ6YuiwW1GpUmaq3F,Ava Max,7609650,81,
1zNqQNIdeOUZHb8zbZRFMX,Swae Lee,2809643,81,
2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,9497341,87,"dark r&b, r&b, trap soul"
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,30256906,86,"classic rock, psychedelic rock"
6zFYqv1mOsgBRQbae3JJ9e,Billy Joel,7136688,83,soft rock
163tK9Wjr9P9DmM0AVK7lm,Lorde,10435447,86,
5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,25818849,86,"bachata, latin"
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,13712340,82,soft pop
5RTLRtXjbXI2lSXc6jxlAz,Ravyn Lenae,721000,81,"alternative r&b, indie soul"
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,12471984,81,
2DlGxzQSjYe5N6G9nkYghR,Jennifer Lopez,13621532,79,
23fqKkggKUBHNkbKtXEls4,Kygo,8645823,82,tropical house
4E2rKHVDssGJm2SCDOMMJB,Doechii,3092308,82,
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,12696852,81,"r&b, neo soul"
3JhNCzhSMTxs9WLGJJxWOY,Macklemore,2747299,79,
1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,12618280,79,
2sSGPbdZJkaSE2AbcGOACx,The Marías,3157531,86,bedroom pop
70B80Lwx2sxti0M1Ng9e8K,Udit Narayan,20288235,84,"bollywood, hindi pop, desi"
6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron,2066696,80,
3SozjO3Lat463tQICI9LcE,Tyla,3190407,82,afrobeats
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,25541979,85,
7FNnA9vBm6EKceENgCGRMb,Anitta,13219623,82,"brazilian pop, funk pop, funk carioca, funk, pagode baiano"
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,11605522,81,christmas
5f7VJjfbwm532GiveGC0ZK,Lil Baby,21032559,89,
3hv9jJF3adDNsBSIQDqcjp,Mark Ronson,1260227,79,
3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival,7748591,81,"classic rock, southern rock, country rock"
58lV9VcRSjABbAbfWS6skp,Bon Jovi,15387483,81,"glam metal, rock"
52iwsT98xCoGgiGntTiR7K,Quevedo,6128028,87,
2jw70GZXlAI8QzWeY2bgRc,Nelly Furtado,4531637,80,
6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,11315332,80,
6U1dV7aL68N7Gb0Naq34V5,REI AMI,199288,90,
5KKpBU5eC2tJDzf0wmlRp2,RAYE,2452628,80,
3t5xRXzsuZmMDkQzgOX35S,Robin Schulz,3247925,81,tropical house
4f7KfxeHq9BiylGmyXepGt,Tanishk Bagchi,5332902,82,"bollywood, hindi pop, desi, desi pop, gujarati garba"
2fMqTqiTxUDlmcOEPaQSsx,Amitabh Bhattacharya,3617831,82,"bollywood, hindi pop, desi"
2ye2Wgw4gimLv2eAKyk1NB,Metallica,31344960,86,"metal, thrash metal, rock, heavy metal, hard rock"
1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,9081497,81,
6pV5zH2LzjOUHaAvENdMMa,Neton Vega,3201080,90,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico"
0Wwji82sLA0Hcvtuak3omb,AUDREY NUNA,348954,90,
4kYSro6naA4h99UJvo89HB,Cardi B,25563988,82,
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,15175301,85,"g-funk, west coast hip hop, gangster rap, hip hop, old school hip hop, rap"
6Mv8GjQa7LKUGCAqa9qqdb,Vishal-Shekhar,14293670,82,"bollywood, desi, hindi pop"
2yNNYQBChuox9A5Ka93BIn,HUNTR/X,1248391,90,k-pop
2DaxqgrOhkeH0fpeiQq2f4,Oasis,11893651,86,"britpop, madchester"
3DbwFQlvLxRSi2uX8mf81A,Sexyy Red,2204798,81,
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,41372246,89,"melodic rap, emo rap"
6MDME20pz9RveH9rEXvrOM,Clean Bandit,5892206,78,
78895QQcLtTagD8auJBHfE,Major Lazer,,,
738wLrAtLtCtFOLvQBXOXp,Major Lazer,6290515,78,moombahton
74XFHRwlV6OrjEM0A2NCMF,Paramore,9575814,83,"pop punk, emo"
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,54760571,87,k-pop
3AA28KZvwAUcZuOKwyblJQ,Gorillaz,13630794,83,
2QsynagSdAqZj3U9HgDzjD,Bob Marley & The Wailers,13241039,84,"reggae, roots reggae"
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,6951600,90,"country, red dirt"
6S2OmqARrzebs0tKUEyXyp,Demi Lovato,27198683,79,
0PFtn5NtBbbUNbU9EAmIWF,TOTO,3568602,78,"yacht rock, soft rock"
3Z02hBLubJxuFJfhacLSDc,Bryan Adams,4568205,79,
3AQRLZ9PuTAozP28Skbq8V,The Script,8701370,79,
1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,16527704,87,dream pop
5H1nN1SzW0qNeUEZvuXjAj,Danny Ocean,6263590,84,reggaeton
3Nrfpe0tUJi4K4DXYWgMUX,BTS,80087431,90,k-pop
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,15462209,81,"classic rock, rock"
50co4Is1HCEo8bhOyUWKpn,Young Thug,12057969,87,"rap, melodic rap, trap"
66ihevNkSYNzRAl44dx6jJ,Carín León,16676483,87,"banda, norteño, sierreño, corrido, grupera, ranchera, sad sierreño, música mexicana"
2OFij1ppCwYFCOTq7vzafi,bees & honey,31334,80,
3ebS2RuCq8QeLyndUDmgB5,WizTheMc,183563,80,
5INjqkS1o8h1imAzPqGZBb,Tame Impala,9068234,84,"neo-psychedelic, indie"
7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies,3068660,81,tropical house
4fEkbug6kZzzJ8eYX6Kbbp,KK,21220920,81,"bollywood, hindi pop, desi"
4D75GcNG95ebPtNvoNVXhz,AFROJACK,4020684,77,"edm, big room"
1SJOL9HJ08YOn92lFcYf8a,Shankar Mahadevan,12558426,79,"marathi pop, bollywood, devotional, bhajan, desi, tamil dance, hindi pop, tamil pop"
4fxd5Ee7UefO4CUXgwJ7IP,GIVĒON,4969501,84,r&b
6nVcHLIgY5pE2YCl8ubca1,JHAYCO,9005973,83,"reggaeton, trap latino, urbano latino"
5PlfkPxwCpRRWQJBxCa0By,HUGEL,565875,83,"latin house, afro house, techengue"
1moxjboGR7GNWYIMWsRjgG,Florence + The Machine,7128971,80,baroque pop
4ScCswdRlyA23odg9thgIO,Jess Glynne,3142247,78,
19k8AgwwTSxeaxkOuCQEJs,Jelly Roll,5754914,84,"country hip hop, country"
3y2cIKLjiOlp1Np37WiUdH,Shaboozey,1304052,81,
0C0XlULifJtAgn6ZNCW2eu,The Killers,7885024,80,alternative rock
37230BxxYs9ksS7OkZw3IU,Chencho Corleone,1981357,80,reggaeton
4lxfqrEsLX6N1N4OCSkILp,Phil Collins,7061817,81,soft rock
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,40979830,82,
2oSONSC9zQ4UonDKnLqksx,Atif Aslam,37666030,82,"bollywood, hindi pop, desi, sufi, qawwali"
5uwa6tAMMfNbBFIHiI6NV4,W Sound,688397,80,
5UJ2sHO2ELrgW6aXeRLTQQ,Chinmayi,4499724,78,"tollywood, tamil pop, telugu pop, kollywood, marathi pop, bollywood, hindi pop"
1iCnM8foFssWlPRLfAbIwo,Gigi Perez,1398372,80,
4YLtscXsxbVgi031ovDDdh,Chris Stapleton,8702832,86,"country, outlaw country"
4r63FhuTkUYltbVAg5TQnk,DaBaby,12780277,81,
0rvjqX7ttXeg3mTy8Xscbt,Journey,6331649,78,"aor, classic rock"
09UmIX92EUH9hAK4bxvHx6,Mithoon,10687910,79,"bollywood, hindi pop, desi"
5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys,6499228,81,
1Xylc3o4UrD53lo9CvFvVg,Zara Larsson,10772796,79,
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,14319538,81,
3aQeKQSyrW4qWr35idm0cy,T-Pain,5599568,83,
7t0rwkOPGlDPEhaOcVtOt9,The Cranberries,5189889,79,
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,12181743,83,
4SsVbpTthjScTS7U2hmr1X,Arcángel,17345967,86,"reggaeton, trap latino, urbano latino"
1h6Cn3P4NGzXbaXidqURXs,Swedish House Mafia,3918321,79,edm
1LZEQNv7sE11VDY3SdxQeN,Bee Gees,9082120,80,disco
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,9844253,86,"melodic rap, rap"
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,18987576,85,melodic rap
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,4264675,80,
0L5GV6LN8SWWUWIdBbTLTZ,Shankar-Ehsaan-Loy,7719318,76,"bollywood, sufi, desi, hindi pop"
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,11849196,80,
6nS5roXSAGhTGr34W6n7Et,Disclosure,2325197,78,house
3wcj11K77LjEY1PkEazffa,Burna Boy,13093791,85,"afrobeats, afrobeat, afropop, afroswing, dancehall, afropiano"
1OFOShsIbhy1l5x73yuVyB,Shenseea,1060282,78,"dancehall, soca, afrobeats"
3gBKY0y3dFFVRqicLnVZYz,Alka Yagnik,19378719,84,"bollywood, hindi pop, desi"
4LLpKhyESsyAXpc4laK94U,Mac Miller,11962600,85,
718COspgdWOnwOFpJHRZHS,Luke Combs,13042420,87,country
4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,12026151,82,
4obzFoKoKRHIphyHzJ35G3,Becky G,16459876,79,"reggaeton, latin"
3c0gDdb9lhnHGFtP4prQpn,KATSEYE,2907107,85,k-pop
7CvTknweLr9feJtRGrpDBy,FloyyMenor,1971210,81,reggaeton chileno
5H4yInM5zmHqpKIoMNAx4r,Central Cee,9059504,84,"uk drill, drill, uk grime, grime"
