spotify_id,name
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd
0du5cEVh5yTK9QJze8zA0C,Bruno Mars
1HY2Jd0NmPuamShAr6KMms,Lady Gaga
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran
1uNFoZAHBGtllmzznpCI3s,Justin Bieber
4gzpq5DPGxSnKTe4SA8HAU,Coldplay
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish
5pKCCKE2ajJHZ9KAiaK11H,Rihanna
4q3ewBCX7sLwd24euuV69X,Bad Bunny
06HL4z0CvFAxyc27GXpf02,Taylor Swift
3TVXtAsR1Inumwj472S9r4,Drake
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
7CajNmpbOovFoOoasH2HaY,Calvin Harris
7tYKF4w9nC0nq9CsPZTHyP,SZA
04gDigrS5kc9YWfZHwBETP,Maroon 5
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter
246dkjvS1zLTtiykXe5h60,Post Malone
0EmeFodog0BfCgMzAIvKQp,Shakira
6jJ0s89eD6GaHleKKya26X,Katy Perry
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa
5WUlDfRSoLAfcVSX1WnrxN,Sia
7dGJo4pcD2V6oG8kP0tJRR,Eminem
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott
0TnOYISbd1XYRBk9myaseg,Pitbull
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas
5K4W6rqBFWDnAN6FQUkS6x,Kanye West
00FQb4jTyendYWaN8pK0wa,Lana Del Rey
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons
7bXgB6jMjp9ATFy66eO08Z,Chris Brown
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus
6vWDO969PvNqNYHIOW5v0m,Beyoncé
45dkTj5sMRSjrmBSBeiHym,Tate McRae
790FomKkXshlbRYZFtlgla,KAROL G
22wbnEMDvgVIAGdFeek6ET,Benson Boone
4VMYDCV2IEDYJArk749S6m,Daddy Yankee
0fTSzq9jAh4c36UVb4V7CB,Alex Warren
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat
64KEffDW9EtZ1y2vBYgq8T,Marshmello
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys
1RyvyyTE3xzB2ZywiAwp0i,Future
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic
4dpARuHxo51G3z768sgnrY,Adele
6XyY86QOPPrYVGvF9ch6wz,Linkin Park
69GGBxA162lTqCwzJG5jLp,The Chainsmokers
3Isy6kedDrgPYoTS1dazA9,Sean Paul
2wY79sveU1sp5g7SokKOiI,Sam Smith
6LuN9FCkKOj5PcnpouEgny,Khalid
1dfeR4HaWDbWqFHLkxsg1d,Queen
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro
55Aa2cqylxrFIXC767Z865,Lil Wayne
26VFTg2z8YR0cCuwLzESi2,Halsey
4G9NDjRyZFDlJKMRL8hx3S,sombr
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson
3PhoLpVuITZKcymswpck5b,Elton John
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello
6LqNN22kT3074XbTVUrhzX,Kesha
6KImCVD70vtIoJWnq6nGn3,Harry Styles
33qOK5uJ8AR2xuQQAhHump,Teddy Swims
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac
4YRxDV8wJFPHPTeXepOstw,Arijit Singh
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj
699OTQXzgjhIYAHMy9RyPD,Playboi Carti
2FXC3k01G6Gw61bmprjgqS,Hozier
0oOet2f43PA68X5RxKobEy,Shreya Ghoshal
1McMsnEElThX1knmY4oliG,Olivia Rodrigo
1i8SpTcr7yvPOmcqrbnVXY,Ozuna
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
31TPClRtHm23RisEBtV3X7,Justin Timberlake
1r4hJ1h58CWwUQe3MxPuau,Maluma
540vIaP2JwjQb9dm3aArA4,DJ Snake
3eVa5w3URK5duf6eyVDbu9,ROSÉ
1wRPtKGflJrBx9BmLsSwlU,Pritam
23zg3TcAtWQy7J6upgbUnj,USHER
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator"
21E3waRsmPlU7jZsS13rcj,Ne-Yo
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa
4AK6F7OLvEQ5QYCBNiQWHq,One Direction
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding
33ScadVnbm2X8kkUqOkC6Z,Don Omar
1mYsTxnqsietFxj1OgoGbG,A.R. Rahman
7iK8PXO48WeuP03g8YR51W,Myke Towers
4Gso3d4CscCijv0lmajZWs,Don Toliver
0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers
250b0Wlc5Vk0CoUsaCY84M,JENNIE
1URnnhqYAYcrqrcwql10ft,21 Savage
0jnsk9HBra6NMjO2oANoPY,Flo Rida
329e4yvIujISKGKz1BZZbO,Farruko
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin
12GqGscKJx3aE4t07u7eVZ,Peso Pluma
1vCWHaC5f2uS3yhpwWbIA6,Avicii
26dSoYclwsYLMAKD3tpOr4,Britney Spears
7a0XAaPaK2aDSqa8p3QnC7,Beéle
2LRoIwlKmHjgvigdNGBHNo,Feid
2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI
7GlBOeep6PqTfFi59PTUUN,Chappell Roan
3q7HBObVc0L8jNeTe5Gofh,50 Cent
4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth
6tbjWDEIzxoDsBA1FuhfPW,Madonna
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen
4Z8W4fKeB5YxbusRsdQVPb,Radiohead
2hlmm7s2ICUX0LVIhVFlZQ,Gunna
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign
3m5qlPf2OkihLz3dRYnkPA,Ovy On The Drums
7oPftvlwr6VrsViSDV7fJY,Green Day
1Yj5Xey7kTwvZla8sqdsdE,Cris MJ
1SupJlEpv7RS2tPNRaHViT,Nicky Jam
67FB4n52MgexGQIG8s0yUH,Lola Young
1KCSPY1glIKqW2TotWuXOR,P!nk
2h93pZq0e7k5yf4dywlkpM,Frank Ocean
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida
25uiPmTg16RbhZWAqwLBy5,Charli xcx
5NGO30tJxFlKixkPSgXcFE,The Police
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo
3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses
4IWBUUAFIplrNtaOHcJPRM,James Arthur
7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias
0LcJLqbBmaGUft1e9Mm8HV,ABBA
5y8tKLUfMvliMe8IKamR32,d4vd
5fMUXHkw8R8eOP2RNVYEZX,Diplo
2R21vXR83lH98kGeO99Y66,Anuel AA
2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls
1U1el3k54VvEUzo3ybLPlM,Kali Uchis
711MCceyCBcFnzjGY4Q7Un,AC/DC
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z
0z4gvV4rjIZ9wHck67ucSV,Akon
67hb7towEyKvt5Z8Bx306c,Empire Of The Sun
6olE6TJLqED3rqDCT0FyPh,Nirvana
3xvaSlT4xsyk6lY1ESOspO,Disney
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha
6XkjpgcEsYab502Vr1bBeW,Grupo Frontera
1mBydYMVBECdDmMfE2sEUO,Sachin-Jigar
6l3HvQ5sa6mXTsMTB19rO5,J. Cole
2txHhyCwHjUEpJjWrEyqyX,Tom Odell
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION
4npEfmQ6YuiwW1GpUmaq3F,Ava Max
1zNqQNIdeOUZHb8zbZRFMX,Swae Lee
2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR
3WrFJ7ztbogyGnTHbHJFl2,The Beatles
6zFYqv1mOsgBRQbae3JJ9e,Billy Joel
163tK9Wjr9P9DmM0AVK7lm,Lorde
5lwmRuXgjX8xIwlnauTZIP,Romeo Santos
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi
5RTLRtXjbXI2lSXc6jxlAz,Ravyn Lenae
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo
2DlGxzQSjYe5N6G9nkYghR,Jennifer Lopez
23fqKkggKUBHNkbKtXEls4,Kygo
4E2rKHVDssGJm2SCDOMMJB,Doechii
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys
3JhNCzhSMTxs9WLGJJxWOY,Macklemore
1zNqDE7qDGCsyzJwohVaoX,Anne-Marie
2sSGPbdZJkaSE2AbcGOACx,The Marías
70B80Lwx2sxti0M1Ng9e8K,Udit Narayan
6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron
3SozjO3Lat463tQICI9LcE,Tyla
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots
7FNnA9vBm6EKceENgCGRMb,Anitta
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey
5f7VJjfbwm532GiveGC0ZK,Lil Baby
3hv9jJF3adDNsBSIQDqcjp,Mark Ronson
3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival
58lV9VcRSjABbAbfWS6skp,Bon Jovi
52iwsT98xCoGgiGntTiR7K,Quevedo
2jw70GZXlAI8QzWeY2bgRc,Nelly Furtado
6XpaIBNiVzIetEPCWDvAFP,Whitney Houston
6U1dV7aL68N7Gb0Naq34V5,REI AMI
5KKpBU5eC2tJDzf0wmlRp2,RAYE
3t5xRXzsuZmMDkQzgOX35S,Robin Schulz
4f7KfxeHq9BiylGmyXepGt,Tanishk Bagchi
2fMqTqiTxUDlmcOEPaQSsx,Amitabh Bhattacharya
2ye2Wgw4gimLv2eAKyk1NB,Metallica
1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera
6pV5zH2LzjOUHaAvENdMMa,Neton Vega
0Wwji82sLA0Hcvtuak3omb,AUDREY NUNA
4kYSro6naA4h99UJvo89HB,Cardi B
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg
6Mv8GjQa7LKUGCAqa9qqdb,Vishal-Shekhar
2yNNYQBChuox9A5Ka93BIn,HUNTR/X
2DaxqgrOhkeH0fpeiQq2f4,Oasis
3DbwFQlvLxRSi2uX8mf81A,Sexyy Red
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD
6MDME20pz9RveH9rEXvrOM,Clean Bandit
78895QQcLtTagD8auJBHfE,Major Lazer
738wLrAtLtCtFOLvQBXOXp,Major Lazer
74XFHRwlV6OrjEM0A2NCMF,Paramore
41MozSoPIsD1dJM0CLPjZF,BLACKPINK
3AA28KZvwAUcZuOKwyblJQ,Gorillaz
2QsynagSdAqZj3U9HgDzjD,Bob Marley & The Wailers
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan
6S2OmqARrzebs0tKUEyXyp,Demi Lovato
0PFtn5NtBbbUNbU9EAmIWF,TOTO
3Z02hBLubJxuFJfhacLSDc,Bryan Adams
3AQRLZ9PuTAozP28Skbq8V,The Script
1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex
5H1nN1SzW0qNeUEZvuXjAj,Danny Ocean
3Nrfpe0tUJi4K4DXYWgMUX,BTS
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones
50co4Is1HCEo8bhOyUWKpn,Young Thug
66ihevNkSYNzRAl44dx6jJ,Carín León
2OFij1ppCwYFCOTq7vzafi,bees & honey
3ebS2RuCq8QeLyndUDmgB5,WizTheMc
5INjqkS1o8h1imAzPqGZBb,Tame Impala
7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies
4fEkbug6kZzzJ8eYX6Kbbp,KK
4D75GcNG95ebPtNvoNVXhz,AFROJACK
1SJOL9HJ08YOn92lFcYf8a,Shankar Mahadevan
4fxd5Ee7UefO4CUXgwJ7IP,GIVĒON
6nVcHLIgY5pE2YCl8ubca1,JHAYCO
5PlfkPxwCpRRWQJBxCa0By,HUGEL
1moxjboGR7GNWYIMWsRjgG,Florence + The Machine
4ScCswdRlyA23odg9thgIO,Jess Glynne
19k8AgwwTSxeaxkOuCQEJs,Jelly Roll
3y2cIKLjiOlp1Np37WiUdH,Shaboozey
0C0XlULifJtAgn6ZNCW2eu,The Killers
37230BxxYs9ksS7OkZw3IU,Chencho Corleone
4lxfqrEsLX6N1N4OCSkILp,Phil Collins
7vk5e3vY1uw9plTHJAMwjN,Alan Walker
2oSONSC9zQ4UonDKnLqksx,Atif Aslam
5uwa6tAMMfNbBFIHiI6NV4,W Sound
5UJ2sHO2ELrgW6aXeRLTQQ,Chinmayi
1iCnM8foFssWlPRLfAbIwo,Gigi Perez
4YLtscXsxbVgi031ovDDdh,Chris Stapleton
4r63FhuTkUYltbVAg5TQnk,DaBaby
0rvjqX7ttXeg3mTy8Xscbt,Journey
09UmIX92EUH9hAK4bxvHx6,Mithoon
5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys
1Xylc3o4UrD53lo9CvFvVg,Zara Larsson
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino
3aQeKQSyrW4qWr35idm0cy,T-Pain
7t0rwkOPGlDPEhaOcVtOt9,The Cranberries
46SHBwWsqBkxI7EeeBEQG7,Kodak Black
4SsVbpTthjScTS7U2hmr1X,Arcángel
1h6Cn3P4NGzXbaXidqURXs,Swedish House Mafia
1LZEQNv7sE11VDY3SdxQeN,Bee Gees
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert
2LIk90788K0zvyj2JJVwkJ,Jack Harlow
0L5GV6LN8SWWUWIdBbTLTZ,Shankar-Ehsaan-Loy
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne
